question|answer|distractors
What is 1754 - 3936?|-2182|3176, 6529, 6903
What is 3009 * 5075?|15270675|3572, 8772, 9415
What is 9702 - 9102?|600|7360, 2043, 2982, 1235
What is 6324 * 4040?|25548960|3952, 3906, 2694
What is 7269 * 2771?|20142399|874
What is 4354 - 5398?|-1044|3253
What is 1129 - 7801?|-6672|5432, 7846, 239
What is 163 - 7924?|-7761|4603
What is 2075 - 6504?|-4429|1579
What is 4749 + 7170?|11919|2825, 1994, 8839, 9094
What is 4352 + 8781?|13133|6305, 2714, 2763
What is 2125 + 5741?|7866|8207
What is 6527 * 5690?|37138630|1410
What is 8499 + 9439?|17938|6287
What is 8584 + 4088?|12672|4024, 1714, 2070
What is 8889 - 4502?|4387|4833, 6631
What is 5693 * 2546?|14494378|5592, 9074, 370, 4242
What is 1566 - 9848?|-8282|2902
What is 4106 * 7117?|29222402|6189, 7309, 9610, 6807
What is 8279 - 2338?|5941|712, 5102
What is 5182 - 8052?|-2870|8665, 8949, 6709, 7037
What is 852 + 9750?|10602|5561, 7234, 2822, 6614
What is 3218 + 6615?|9833|7938, 190
What is 7459 + 6967?|14426|2870
What is 4656 + 2044?|6700|6277, 7799
What is 812 * 2069?|1680028|6397, 85
What is 5966 * 5755?|34334330|1812, 4853
What is 4105 - 8189?|-4084|5640
What is 8714 + 7865?|16579|8114, 2846
What is 8425 + 5115?|13540|4555, 7659, 910
What is 163 + 4671?|4834|3922, 4117
What is 1560 * 8298?|12944880|7241, 9450, 4414
What is 4128 * 2826?|11665728|72, 9466
What is 4882 * 5961?|29101602|704, 6017, 3455
What is 9584 * 3751?|35949584|2217, 3937, 5646, 6847
What is 7877 - 1273?|6604|7680, 8369, 1934
What is 7053 + 475?|7528|5377, 6832, 4195, 8166
What is 2724 * 9528?|25954272|3650, 5342
What is 3265 * 3774?|12322110|3432, 281, 3626, 5117
What is 3819 - 9776?|-5957|749, 9829, 4043, 3703
What is 1676 * 9873?|16547148|6082, 1709, 6733, 5615
What is 4312 * 9105?|39260760|3987, 7973, 1259
What is 790 - 4458?|-3668|9132
What is 4853 + 1524?|6377|4732, 6702, 9343
What is 7574 + 4353?|11927|392, 8735
What is 566 - 2123?|-1557|6611
What is 1905 * 9799?|18667095|8850, 4943, 2310, 694
What is 3877 * 6034?|23393818|6587
What is 4640 * 2572?|11934080|2450, 1594, 4732, 813
What is 7346 + 6108?|13454|8952, 4642, 2174, 1022
What is 9230 + 556?|9786|9960, 4713, 3604
What is 4145 * 9772?|40504940|5822, 3614
What is 2380 + 242?|2622|5244
What is 714 * 2502?|1786428|454
What is 9960 - 2840?|7120|4290
What is 619 * 8043?|4978617|6273
What is 609 * 2763?|1682667|9090, 6596, 773, 7094
What is 2173 + 5594?|7767|8681, 2791, 3660
What is 5307 - 6507?|-1200|9703
What is 279 + 6181?|6460|9916, 4501, 5495
What is 6515 + 351?|6866|3448
What is 1029 * 1995?|2052855|3889, 6709, 9822
What is 7719 * 4872?|37606968|6853, 9439
What is 4906 * 5214?|25579884|1868, 8484
What is 6297 - 6929?|-632|2638, 1751
What is 5720 + 2756?|8476|5984, 2057, 3060, 4905
What is 1863 - 6644?|-4781|6083
What is 7589 - 3538?|4051|3800, 6873
What is 5735 * 8582?|49217770|7506
What is 2481 - 8093?|-5612|8232, 2553, 6258, 7298
What is 3108 - 6920?|-3812|1555, 6667
